
code	|	name	|	preferred name	|	taxid
3	|	Anonychomyrma biconvexa	|	 	|	 
3	|	Anonychomyrma dimorpha	|	 	|	 
3	|	Anonychomyrma extensa	|	 	|	 
3	|	Anonychomyrma fornicata	|	 	|	 
3	|	Anonychomyrma froggatti	|	 	|	 
3	|	Anonychomyrma gigantea	|	 	|	 
1	|	Anonychomyrma gilberti	|	 	|	411733
3	|	Anonychomyrma glabrata	|	 	|	 
3	|	Anonychomyrma incisa	|	 	|	 
1	|	Anonychomyrma itinerans	|	 	|	602552
3	|	Anonychomyrma longicapitata	|	 	|	 
3	|	Anonychomyrma longiceps	|	 	|	 
3	|	Anonychomyrma malandana	|	 	|	 
3	|	Anonychomyrma minuta	|	 	|	 
3	|	Anonychomyrma murina	|	 	|	 
3	|	Anonychomyrma myrmex	|	 	|	 
1	|	Anonychomyrma nitidiceps	|	 	|	369092
3	|	Anonychomyrma polita	|	 	|	 
3	|	Anonychomyrma procidua	|	 	|	 
3	|	Anonychomyrma purpurescens	|	 	|	 
3	|	Anonychomyrma scrutator	|	 	|	 
3	|	Anonychomyrma sellata	|	 	|	 
3	|	Anonychomyrma tigris	|	 	|	 
1	|	Anoplolepis carinata	|	 	|	602571
1	|	Anoplolepis custodiens	|	 	|	602572
3	|	Anoplolepis fallax	|	 	|	 
1	|	Anoplolepis gracilipes	|	 	|	354296
3	|	Anoplolepis nuptialis	|	 	|	 
3	|	Anoplolepis opaciventris	|	 	|	 
3	|	Anoplolepis rufescens	|	 	|	 
1	|	Anoplolepis steingroeveri	|	 	|	354297
3	|	Anoplolepis tenella	|	 	|	 
3	|	Aphaenogaster afra	|	 	|	 
3	|	Aphaenogaster aktaci	|	 	|	 
3	|	Aphaenogaster angulata	|	 	|	 
3	|	Aphaenogaster annandalei	|	 	|	 
1	|	Aphaenogaster araneoides	|	 	|	602584
1	|	Aphaenogaster ashmeadi	|	 	|	602585
3	|	Aphaenogaster asmaae	|	 	|	 
3	|	Aphaenogaster atlantis	|	 	|	 
1	|	Aphaenogaster balcanica	|	 	|	602587
3	|	Aphaenogaster balcanicoides	|	 	|	 
3	|	Aphaenogaster baogong	|	 	|	 
3	|	Aphaenogaster barbara	|	 	|	 
3	|	Aphaenogaster barbigula	|	 	|	 
3	|	Aphaenogaster baronii	|	 	|	 
1	|	Aphaenogaster beccarii	|	 	|	297319
3	|	Aphaenogaster beesoni	|	 	|	 
1	|	Aphaenogaster boulderensis	|	 	|	602593
3	|	Aphaenogaster brevicollis	|	 	|	 
3	|	Aphaenogaster burri	|	 	|	 
3	|	Aphaenogaster caeciliae	|	 	|	 
1	|	Aphaenogaster campana	|	 	|	602597
3	|	Aphaenogaster carbonaria	|	 	|	 
1	|	Aphaenogaster cardenai	|	 	|	485106
1	|	Aphaenogaster carolinensis	|	 	|	602600
3	|	Aphaenogaster cavernicola	|	 	|	 
3	|	Aphaenogaster cecconii	|	 	|	 
3	|	Aphaenogaster charesi	|	 	|	 
3	|	Aphaenogaster concolor	|	 	|	 
3	|	Aphaenogaster cristata	|	 	|	 
3	|	Aphaenogaster crocea	|	 	|	 
3	|	Aphaenogaster curiosa	|	 	|	 
3	|	Aphaenogaster dejeani	|	 	|	 
3	|	Aphaenogaster depilis	|	 	|	 
3	|	Aphaenogaster depressa	|	 	|	 
3	|	Aphaenogaster dlusskyi	|	 	|	 
3	|	Aphaenogaster donann	|	 	|	 
3	|	Aphaenogaster dromedaria	|	 	|	 
1	|	Aphaenogaster dulciniae	|	 	|	602617
3	|	Aphaenogaster edentula	|	 	|	 
3	|	Aphaenogaster epirotes	|	 	|	 
3	|	Aphaenogaster equestris	|	 	|	 
3	|	Aphaenogaster erabu	|	 	|	 
3	|	Aphaenogaster espadaleri	|	 	|	 
